iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
1,2048,0.6551710367202759,0.36138568697074247,0.5312077838898174,45.7734375,142.2421875,0.123046875,0.2369113266468048,-0.9636589288711548,0.04997001588344574,2.689423084259033,5.779540300369263,pos_err_exceeded:549|joint_limit:287|max_steps:126|self_collision:59
10,11264,0.641476571559906,0.31473959530158857,0.47841505871438816,38.3486328125,136.265625,0.1025390625,0.15932530164718628,-0.7229493856430054,0.04970087110996246,2.7072067260742188,30.952560663223267,pos_err_exceeded:555|joint_limit:313|max_steps:105|self_collision:46
20,21504,0.6038689613342285,0.3597326972068438,0.5443309904933502,46.2294921875,140.015625,0.1630859375,0.148228719830513,-0.6883869171142578,0.04940390959382057,2.651804208755493,58.01055335998535,pos_err_exceeded:454|joint_limit:335|max_steps:167|self_collision:53
30,31744,0.5859155654907227,0.28383983973428073,0.4612822515717282,35.85546875,144.3984375,0.1142578125,0.1488094925880432,-0.7373976707458496,0.04910843074321747,2.702770471572876,85.77909469604492,pos_err_exceeded:530|joint_limit:274|max_steps:117|self_collision:99
40,41984,0.6124756336212158,0.35170249509572865,0.5608494189477831,39.697265625,130.9140625,0.1435546875,0.1588376760482788,-0.7065101265907288,0.048814527690410614,2.6441001892089844,113.18976044654846,pos_err_exceeded:526|joint_limit:273|max_steps:147|self_collision:77
50,52224,0.6159949898719788,0.33553699222271643,0.5200138909178806,42.4560546875,144.484375,0.1328125,0.1442008763551712,-0.7811460494995117,0.04852234572172165,2.6399688720703125,139.87579369544983,pos_err_exceeded:496|joint_limit:323|max_steps:136|self_collision:64
60,62464,0.6046541929244995,0.35094435313218586,0.5634462996830442,44.1962890625,141.9921875,0.130859375,0.15648776292800903,-0.773536205291748,0.04823226481676102,2.6692285537719727,166.49210238456726,pos_err_exceeded:499|joint_limit:327|max_steps:134|self_collision:62
70,72704,0.6085096597671509,0.3185202708280942,0.5359104413062018,42.1904296875,145.7734375,0.1279296875,0.15202303230762482,-0.705878496170044,0.047943875193595886,2.667041301727295,194.18825268745422,pos_err_exceeded:554|joint_limit:292|max_steps:131|self_collision:43
80,82944,0.5855063199996948,0.32149701522230567,0.5013310961460317,41.65234375,137.15625,0.1123046875,0.1446608155965805,-0.747230052947998,0.04765744507312775,2.60957670211792,221.15542697906494,pos_err_exceeded:522|joint_limit:302|max_steps:115|self_collision:79
90,93184,0.6298012733459473,0.3405180844622937,0.5338320389004297,45.328125,144.6484375,0.0869140625,0.14164824783802032,-0.7560428380966187,0.04737278074026108,2.681729793548584,249.7761037349701,pos_err_exceeded:602|joint_limit:269|max_steps:89|self_collision:52
100,103424,0.6280620098114014,0.35395733740713453,0.5351079737226248,46.1689453125,141.484375,0.1318359375,0.15224617719650269,-0.7381371259689331,0.04708928242325783,2.604656219482422,277.4545199871063,pos_err_exceeded:538|joint_limit:292|max_steps:135|self_collision:54
110,113664,0.6154767274856567,0.3828486925534941,0.5683091268863496,39.927734375,129.71875,0.1884765625,0.16366958618164062,-0.7239654064178467,0.04680877551436424,2.663224220275879,305.23383593559265,pos_err_exceeded:435|joint_limit:338|max_steps:193|self_collision:56
120,123904,0.6179646253585815,0.32036196526836475,0.486275482959039,41.1318359375,145.2265625,0.1328125,0.15340448915958405,-0.7132992148399353,0.04652976244688034,2.629492998123169,333.57130336761475,pos_err_exceeded:517|joint_limit:264|max_steps:136|self_collision:99
130,134144,0.6311054229736328,0.35140629399621925,0.5227149456342026,43.7109375,140.3515625,0.1328125,0.14832554757595062,-0.8255383968353271,0.046252474188804626,2.4777402877807617,361.3873178958893,pos_err_exceeded:528|joint_limit:301|max_steps:136|self_collision:59
140,144384,0.612381100654602,0.33112153027684754,0.5253781553412865,42.1962890625,138.5,0.10546875,0.14044277369976044,-0.7800353169441223,0.0459773875772953,2.5553479194641113,389.35561442375183,pos_err_exceeded:544|joint_limit:325|max_steps:108|self_collision:38
150,154624,0.6722656488418579,0.3718535713279162,0.545114632324994,42.3447265625,130.8671875,0.1689453125,0.15985165536403656,-0.7418190240859985,0.04570417478680611,2.47377872467041,417.7623682022095,pos_err_exceeded:515|joint_limit:259|max_steps:173|self_collision:75
160,164864,0.6370978355407715,0.3445688119614753,0.517423284844567,43.5810546875,142.3203125,0.1484375,0.16536948084831238,-0.7177103757858276,0.04543238878250122,2.574526071548462,445.18034768104553,pos_err_exceeded:551|joint_limit:277|max_steps:152|self_collision:36
170,175104,0.5924490690231323,0.3181964220530241,0.4950172900013611,40.330078125,136.4140625,0.1044921875,0.14719316363334656,-0.741115391254425,0.04516252130270004,2.4783265590667725,472.7370047569275,pos_err_exceeded:546|joint_limit:276|max_steps:107|self_collision:77
180,185344,0.6012005805969238,0.3467117915657844,0.5032598214423483,39.0478515625,131.1875,0.14453125,0.14488506317138672,-0.768390953540802,0.04489465802907944,2.5522208213806152,501.0425777435303,pos_err_exceeded:521|joint_limit:265|max_steps:148|self_collision:78
190,195584,0.644221305847168,0.3296653238388602,0.5029655502548707,38.3115234375,140.40625,0.130859375,0.15517553687095642,-0.7818698287010193,0.04462861642241478,2.4522476196289062,528.0344338417053,pos_err_exceeded:540|joint_limit:311|max_steps:134|self_collision:31
200,200000,0.6201802492141724,0.34640828518543154,0.5499981135884978,41.45703125,134.328125,0.1474609375,0.14230698347091675,-0.770821213722229,0.04436382278800011,2.4856879711151123,555.5379445552826,pos_err_exceeded:516|joint_limit:280|max_steps:151|self_collision:60
210,200000,0.579673707485199,0.3180817690256629,0.5027111625238609,40.646484375,141.5859375,0.115234375,0.14918425679206848,-0.7332797646522522,0.044100988656282425,2.514324903488159,583.4376375675201,pos_err_exceeded:544|joint_limit:288|max_steps:118|self_collision:61
220,200000,0.6027147769927979,0.3069172829212751,0.47610197042046487,39.029296875,140.75,0.1015625,0.15455980598926544,-0.7396442890167236,0.04384031146764755,2.5243260860443115,611.2969632148743,pos_err_exceeded:525|joint_limit:324|max_steps:104|self_collision:63
230,200000,0.6458438038825989,0.3413058858277017,0.5268164295630595,42.1865234375,141.1796875,0.1484375,0.15022531151771545,-0.8341643810272217,0.043581053614616394,2.377243757247925,638.1251380443573,pos_err_exceeded:539|joint_limit:280|max_steps:152|self_collision:43
240,200000,0.6138102412223816,0.3352574686511044,0.5132326135875345,41.0556640625,139.859375,0.125,0.14320093393325806,-0.7709797620773315,0.04332328587770462,2.5304994583129883,665.6993887424469,pos_err_exceeded:498|joint_limit:330|max_steps:128|self_collision:62
250,200000,0.6225465536117554,0.3634875791458758,0.5475501341468502,42.685546875,135.3828125,0.1435546875,0.15303820371627808,-0.7199143767356873,0.043066587299108505,2.471576690673828,692.8825860023499,pos_err_exceeded:535|joint_limit:253|max_steps:147|self_collision:77
260,200000,0.6215240359306335,0.36950326409503964,0.574511499680565,42.638671875,136.015625,0.146484375,0.14555829763412476,-0.762556254863739,0.04281184822320938,2.47080659866333,719.611554145813,pos_err_exceeded:506|joint_limit:306|max_steps:150|self_collision:60
270,200000,0.6311136484146118,0.32051954634885543,0.4938215216638695,37.701171875,140.953125,0.12890625,0.14908689260482788,-0.7517349720001221,0.0425584502518177,2.4030470848083496,746.7787911891937,pos_err_exceeded:559|joint_limit:256|max_steps:132|self_collision:60
280,200000,0.6081027984619141,0.3523403285264609,0.5519491424221493,44.57421875,143.5625,0.150390625,0.14658254384994507,-0.720113217830658,0.042307574301958084,2.450806140899658,773.5746033191681,pos_err_exceeded:552|joint_limit:276|max_steps:154|self_collision:30
290,200000,0.646294355392456,0.3507057944117623,0.5154444757516733,44.5302734375,138.25,0.1279296875,0.1391599178314209,-0.7514357566833496,0.04205673560500145,2.3818440437316895,800.4232590198517,pos_err_exceeded:514|joint_limit:311|max_steps:131|self_collision:60
